0,1010,899,1163
1,999,895,1168
2,1006,891,1168
3,994,899,1168
4,1003,899,1169
5,1008,896,1168
6,1012,894,1166
7,1011,889,1181
8,1011,898,1168
9,1014,895,1168
10,1010,889,1174
11,1008,895,1167
12,1008,895,1170
13,1009,895,1177
14,1010,897,1168
15,1009,900,1175
16,1008,900,1248
17,1011,896,1179
18,1010,898,1171
19,933,895,1173
20,1008,899,1177
21,1008,899,1179
22,1017,896,1187
23,1007,897,1177
24,1009,898,1180
25,1010,906,1182
26,1010,891,1083
27,1007,894,1185
28,1018,897,1154
29,1009,894,1183
30,1015,895,1185
31,1019,896,1187
32,1013,901,1189
33,1018,902,1192
34,1008,899,1190
35,1017,902,1193
36,1019,906,1195
37,1015,899,1189
38,996,910,1186
39,1021,905,1197
40,1019,899,1191
41,1023,903,1191
42,1018,905,1199
43,1018,902,1197
44,1013,881,1203
45,1017,909,1194
46,1010,830,1199
47,1020,899,1200
48,1011,895,1198
49,1011,897,1198
50,1023,906,1201
51,1022,908,1198
52,1029,895,1201
53,1013,909,1202
54,1023,912,1205
55,1015,912,1209
56,1012,907,1239
57,1015,909,1207
58,1029,899,1210
59,1013,905,1213
60,1034,911,1212
61,1030,903,1179
62,1017,907,1206
63,1019,913,1210
64,1021,912,1203
65,1033,911,1216
66,1035,908,1218
67,1030,881,1214
68,1018,917,1215
69,1029,912,1218
70,1019,914,1214
71,1033,912,1216
72,1030,912,1221
73,1032,903,1214
74,1093,909,1223
75,1021,917,1226
76,1034,912,1225
77,1020,911,1216
78,1019,913,1223
79,1030,911,1230
80,1022,915,1253
81,1035,908,1216
82,1030,912,1232
83,1023,914,1230
84,1033,912,1229
85,970,912,1217
86,1022,980,1231
87,1029,912,1231
88,1038,912,1230
89,1039,914,1233
90,1031,913,1232
91,1030,923,1232
92,1031,914,1235
93,1035,925,1239
94,1033,921,1238
95,1031,917,1233
96,1039,912,1234
97,1023,914,1238
98,1037,915,1235
99,1041,919,1245
100,1040,915,1238
101,1085,918,1241
102,1040,915,1236
103,1041,912,1247
104,1034,927,1242
105,1035,918,1246
106,1030,923,1249
107,1041,919,1251
108,1040,912,1255
109,1040,913,1245
110,1037,913,1251
111,1037,891,1249
112,1040,918,1259
113,1043,921,1264
114,962,927,1260
115,1040,925,1252
116,1038,917,1261
117,1034,944,1262
118,1035,929,1298
119,1031,921,1251
120,1009,926,1252
121,1023,924,1255
122,1009,927,1254
123,1030,921,1264
124,1028,918,1264
125,1011,922,1264
126,1008,944,1261
127,1008,916,1261
128,1008,922,1263
129,1011,927,1264
130,1008,906,1264
131,1008,922,1275
132,1007,935,1262
133,1008,918,1250
134,1008,921,1254
135,1008,921,1265
136,1005,929,1264
137,987,927,1279
138,989,922,1263
139,986,925,1246
140,1008,923,1259
141,992,924,1273
142,988,925,1282
143,995,922,1286
144,991,923,1276
145,999,923,1286
146,992,926,1270
147,979,923,1280
148,992,923,1261
149,994,929,1263
150,988,923,1297
151,989,925,1289
152,992,926,1267
153,989,937,1328
154,976,918,1301
155,991,923,1248
156,994,922,1297
157,981,929,1280
158,988,918,1277
159,986,923,1296
160,973,913,1296
161,988,925,1294
162,990,926,1273
163,987,919,1299
164,992,802,1277
165,990,937,1276
166,985,927,1315
167,993,922,1276
168,987,919,1281
169,990,924,1277
170,990,920,1274
171,988,922,1283
172,989,922,1302
173,989,919,1299
174,983,928,1306
175,989,928,1327
176,982,928,1327
177,981,927,1296
178,990,923,1291
179,989,919,1296
180,982,925,1303
181,990,928,1298
182,990,925,1331
183,990,929,1300
184,988,924,1331
185,987,925,1328
186,970,922,1296
187,987,923,1259
188,981,930,1296
189,988,918,1292
190,982,925,1310
191,992,922,1291
192,979,923,1338
193,987,927,1328
194,988,918,1325
195,991,923,1299
